FORWARD_TEXT_FORMAT_1.0
STDEP =  2325.0000
ENDEP =  3749.5000
RLEV  =     0.1250
CURVENAME =  GR, SP, CALI, C13, C24, RT, RI, RXO, AC, CNL, DEN, SH, POR, GR_CMR, CMRP_A, CMEF_17, CMFF_6, CMFF_20, KTIM_20, KSDR_20, SO, DEVI, AZIM
END
#DEPTH            GR         SP       CALI        C13        C24         RT         RI        RXO         AC        CNL        DEN         SH        POR     GR_CMR     CMRP_A    CMEF_17     CMFF_6    CMFF_20    KTIM_20    KSDR_20         SO       DEVI       AZIM
2333.0000      70.234    -16.244      1.663      1.663      2.077   1762.789      0.618      0.698     98.818     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.617    308.127
2333.1250      71.248    -16.281      1.665      1.665      2.076   1697.273      0.581      0.698     98.581     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.618    308.842
2333.2500      70.619    -16.300      1.668      1.668      2.075   1646.169      0.629      0.698     99.085     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.618    309.249
2333.3750      68.799    -16.292      1.670      1.670      2.075   1593.473      0.734      0.698    100.132     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.619    309.635
2333.5000      68.152    -16.251      1.667      1.667      2.076   1592.635      2.571      0.698    101.938     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.619    309.376
2333.6250      68.239    -16.196      1.663      1.663      2.078   1705.580      1.197      0.698    103.256     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.619    309.563
2333.7500      68.445    -16.143      1.660      1.660      2.080   1823.330      0.604      0.698    102.621     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.620    310.904
2333.8750      68.739    -16.103      1.659      1.659      2.081   1915.048      2.628      0.698    100.748     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.620    313.125
2334.0000      69.023    -16.082      1.659      1.659      2.081   1953.188      6.376      0.698     98.989     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.620    315.537
2334.1250      68.688    -16.088      1.658      1.658      2.081   1866.646      6.326      0.698     98.548     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.620    317.258
2334.2500      68.534    -16.123      1.655      1.655      2.080   1686.795      5.935      0.698     98.490     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.620    318.089
2334.3750      68.213    -16.171      1.653      1.653      2.080   1668.412      2.705      0.698     98.306     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.621    317.747
2334.5000      67.521    -16.219      1.652      1.652      2.080   1776.350      2.567      0.698     98.215     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.622    317.192
2334.6250      66.653    -16.256      1.651      1.651      2.080   1963.413      5.890      0.698     98.214     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.622    317.089
2334.7500      66.138    -16.274      1.652      1.652      2.080   2154.434      8.932      0.698     98.123     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.623    317.703
2334.8750      66.967    -16.263      1.654      1.654      2.080   2050.614     10.680      0.698     97.771     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.623    318.723
2335.0000      66.578    -16.240      1.656      1.656      2.079   1943.411      3.894      0.698     97.895     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.624    321.370
2335.1250      65.700    -16.220      1.656      1.656      2.079   1822.246      1.114      0.698     98.323     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.624    323.787
2335.2500      64.954    -16.212      1.655      1.655      2.078   1757.955      1.046      0.698     98.757     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.625    325.748
2335.3750      64.585    -16.228      1.654      1.654      2.077   1763.961      1.021      0.698     98.960     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.625    327.389
2335.5000      64.196    -16.279      1.653      1.653      2.076   1726.284      1.275      0.698     98.879     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.625    328.871
2335.6250      64.327    -16.382      1.653      1.653      2.077   1801.488      8.244      0.698     98.859     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.625    327.720
2335.7500      64.819    -16.511      1.654      1.654      2.078   1815.912      4.259      0.698     98.621     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    327.931
2335.8750      64.841    -16.652      1.656      1.656      2.079   1802.401      1.017      0.698     97.955     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    328.178
2336.0000      64.589    -16.795      1.657      1.657      2.078   1760.659      0.906      0.698     96.783     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    328.036
2336.1250      64.935    -16.927      1.659      1.659      2.078   1680.104      1.450      0.698     95.200     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    327.950
2336.2500      67.123    -17.032      1.659      1.659      2.077   1596.610      5.246      0.698     93.657     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    329.874
2336.3750      67.803    -17.095      1.660      1.660      2.077   1653.522      4.528      0.698     92.463     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    331.448
2336.5000      67.553    -17.124      1.661      1.661      2.077   1751.700      3.233      0.698     91.911     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    332.749
2336.6250      67.615    -17.126      1.664      1.664      2.077   1822.941      3.067      0.698     91.813     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    332.918
2336.7500      68.213    -17.110      1.667      1.667      2.075   1828.534      4.254      0.698     91.825     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.626    332.598
2336.8750      68.017    -17.086      1.670      1.670      2.074   1774.534      5.318      0.698     91.527     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.627    334.372
2337.0000      65.323    -17.064      1.671      1.671      2.072   1866.580      1.636      0.698     90.325     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.627    334.672
2337.1250      62.776    -17.048      1.671      1.671      2.072   1896.806      0.984      0.698     88.745     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.628    335.012
2337.2500      61.192    -17.035      1.668      1.668      2.073   1908.089      0.955      0.698     87.251     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.628    335.598
2337.3750      60.637    -17.019      1.665      1.665      2.075   1848.462      0.850      0.698     86.089     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.629    336.428
2337.5000      60.929    -16.997      1.660      1.660      2.077   1692.722      0.770      0.698     85.410     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.628    337.568
2337.6250      62.364    -16.968      1.655      1.655      2.080   1655.494      0.883      0.698     85.450     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.628    339.720
2337.7500      64.793    -16.931      1.651      1.651      2.082   1674.545      0.905      0.698     86.783     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.629    342.439
2337.8750      67.314    -16.887      1.648      1.648      2.083   1703.907      3.725      0.698     88.185     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.630    344.774
